,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,month_year,day_year,year_year,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size
0,2763.519279,56274,69,32,5,0,1,384.811147,2,24,2011,Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Medsize
1,6979.535903,0,94,13,42,0,8,773.0,1,31,2011,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize
2,12887.43165,48767,108,18,38,0,2,566.472247,2,19,2011,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize
3,7645.861827,0,106,18,65,0,7,529.881344,1,20,2011,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Call Center,SUV,Medsize
4,2813.692575,43836,73,12,44,0,1,138.130879,2,3,2011,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
5,8256.2978,62902,69,14,94,0,2,159.383042,1,25,2011,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize
6,5380.898636,55350,67,0,13,0,9,321.6,2,24,2011,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
7,7216.100311,0,101,0,68,0,4,363.02968,1,18,2011,Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
8,15433.0,14072,71,13,3,0,2,511.2,1,26,2011,Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
9,7388.178085,28812,93,17,7,0,8,425.527834,2,17,2011,Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize
10,4738.992022,0,67,23,5,0,3,482.4,2,21,2011,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small
11,8197.197078,0,110,27,87,0,3,528.0,1,6,2011,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize
12,8798.797003,77026,110,9,82,2,3,472.029737,2,6,2011,California,No,Premium,Master,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize
